name,version,licenses
./private_repos/cnrm.googlesource.com/cnrm/,['(devel)'],['[]']
./private_repos/cnrm.googlesource.com/cnrm/third_party/github.com/terraform-providers/terraform-provider-google-beta,['(devel)'],['[]']
./private_repos/github.com/GoogleContainerTools/kpt/,['(devel)'],['[]']
4d63.com/tz,['v1.2.0'],['[]']
@babel/code-frame,['7.5.5'],['[]']
@babel/highlight,['7.5.0'],['[]']
@heroku-cli/color,['1.1.14'],['[ISC]']
@heroku-cli/command,['8.4.1' '8.5.0'],['[ISC]']
@heroku-cli/heroku-exec-util,['0.7.6'],['[ISC]']
@heroku-cli/notifications,['1.2.2'],['[MIT]']
@heroku-cli/plugin-addons,['1.2.31'],['[ISC]']
@heroku-cli/plugin-addons-v5,['7.62.0'],['[ISC]']
@heroku-cli/plugin-apps,['7.62.0'],['[MIT]']
@heroku-cli/plugin-apps-v5,['7.62.0'],['[ISC]']
@heroku-cli/plugin-auth,['7.60.0'],['[MIT]']
@heroku-cli/plugin-autocomplete,['7.60.0'],['[MIT]']
@heroku-cli/plugin-buildpacks,['7.62.0'],['[MIT]']
@heroku-cli/plugin-certs,['7.60.0'],['[MIT]']
@heroku-cli/plugin-certs-v5,['7.64.0' '7.62.0'],['[ISC]']
@heroku-cli/plugin-ci,['7.62.0'],['[MIT]']
@heroku-cli/plugin-ci-v5,['7.62.0'],['[MIT]']
@heroku-cli/plugin-config,['7.60.0'],['[MIT]']
@heroku-cli/plugin-container-registry-v5,['7.60.0'],['[ISC]']
@heroku-cli/plugin-git,['7.62.0'],['[ISC]']
@heroku-cli/plugin-local,['7.60.0'],['[MIT]']
@heroku-cli/plugin-oauth-v5,['7.54.0'],['[ISC]']
@heroku-cli/plugin-orgs-v5,['7.54.0'],['[ISC]']
@heroku-cli/plugin-pg-v5,['7.63.0' '7.64.0'],['[ISC]']
@heroku-cli/plugin-pipelines,['7.62.0'],['[MIT]']
@heroku-cli/plugin-ps,['7.60.0'],['[MIT]']
@heroku-cli/plugin-ps-exec,['2.4.0' '2.3.8'],['[ISC]']
@heroku-cli/plugin-redis-v5,['7.62.0'],['[ISC]']
@heroku-cli/plugin-run,['7.60.0'],['[MIT]']
@heroku-cli/plugin-run-v5,['7.56.0'],['[ISC]']
@heroku-cli/plugin-spaces,['7.54.0'],['[ISC]']
@heroku-cli/plugin-status,['7.60.0'],['[ISC]']
