name,version,licenses
Automat,0.6.0,[MIT]
Jinja2,2.10,[BSD]
MarkupSafe,1.0,[BSD]
PAM,0.4.2,[UNKNOWN]
PyGObject,3.26.1,[GNU LGPL]
PyJWT,1.5.3,[MIT]
PyNaCl,1.4.0,[Apache License 2.0]
PyYAML,3.12,[MIT]
PyYAML,5.4.1,[MIT]
Twisted,17.9.0,[MIT]
accountsservice,0.6.45-1ubuntu1.3,[GPL-2 GPL-2+ GPL-3 GPL-3+]
acl,2.2.52-3build1,[GPL LGPL-2.1]
acpid,1:2.0.28-1ubuntu1,[GPL-2]
adduser,3.116ubuntu1,[GPL-2]
adoptopenjdk-11-hotspot,11.0.10+9-3,[]
advance-toolchain-at14.0-devel,14.0-2,[BSD-3-clause GPL ]
advance-toolchain-at14.0-mcore-libs,14.0-2,[BSD-3-clause GPL ]
advance-toolchain-at14.0-perf,14.0-2,[BSD-3-clause GPL ]
advance-toolchain-at14.0-runtime,14.0-2,[BSD-3-clause GPL ]
apparmor,2.12-4ubuntu5.1,[BSD-3-clause GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+]
apport,,[]
apport,2.20.9-0ubuntu7.23,[GPL-2 GPL-2+]
apport-symptoms,0.20,[GPL-2 GPL-2+]
apt,1.6.13,[GPL-2 GPLv2+]
apt-utils,1.6.13,[GPL-2 GPLv2+]
argparse,1.2.1,[Python Software Foundation License]
asn1crypto,0.24.0,[MIT]
ast,2.3.0,[]
at,3.1.20-3.1ubuntu2,[GPL-2 GPL-2+ GPL-3 GPL-3+ ISC]
attrs,17.4.0,[MIT]
attrs,20.3.0,[MIT]
autoconf,2.69-11,[GFDL-1.3 GFDL-1.3+ GPL-2 GPL-2+ GPL-3 GPL-3+ MIT-X-Consortium no-modification other permissive permissive-long-disclaimer permissive-short-disclaimer permissive-without-disclaimer permissive-without-notices-or-disclaimer]
automake,1:1.15.1-3ubuntu2,[GFDL-1.3 GFDL-NIV-1.3+ GPL-2 GPL-2+ GPL-3 GPL-3+ permissive]
autotools-dev,20180224.1,[GPL]
base-files,10.1ubuntu2.10,[GPL]
base-passwd,3.5.44,[GPL-2 PD]
bash,4.4.18-2ubuntu1.2,[GPL-3]
bash-completion,1:2.8-1ubuntu1,[GPL-2 GPL-2+]
bc,1.07.1-2,[GPL-2 GPL-2.0+ X11 permissive permissive']
bcache-tools,1.0.8-2ubuntu0.18.04.1,[GPL-2 GPL-2+ PostgreSQL]
bcrypt,3.2.0,[Apache License  Version 2.0]
bind9-host,1:9.11.3+dfsg-1ubuntu1.14,[BSD-2-clause BSD-3-clause BSD-4-clause ISC MPL-2.0]
binfmt-support,2.1.8-2,[GPL-3 GPL-3+]
binutils,2.30-21ubuntu1~18.04.5,[GFDL GPL LGPL]
binutils-common,2.30-21ubuntu1~18.04.5,[GFDL GPL LGPL]
