name,base_data,new_data
PyYAML,[],['5.4.1']
apport,['2.20.9-0ubuntu7.28'],['2.20.9-0ubuntu7.23']
apt,['1.6.14'],['1.6.13']
apt-utils,['1.6.14'],['1.6.13']
argparse,['1.0.10'],[]
ast,['2.4.2'],['2.3.0']
attrs,['21.4.0' '22.1.0'],['20.3.0']
base-files,['10.1ubuntu2.11'],['10.1ubuntu2.10']
bash,['4.4.18-2ubuntu1.3'],['4.4.18-2ubuntu1.2']
bind9-host,['1:9.11.3+dfsg-1ubuntu1.17'],['1:9.11.3+dfsg-1ubuntu1.14']
binutils,['2.30-21ubuntu1~18.04.7'],['2.30-21ubuntu1~18.04.5']
binutils-common,['2.30-21ubuntu1~18.04.7'],['2.30-21ubuntu1~18.04.5']
busybox-initramfs,['1:1.27.2-2ubuntu3.4'],['1:1.27.2-2ubuntu3.3']
busybox-static,['1:1.27.2-2ubuntu3.4'],['1:1.27.2-2ubuntu3.3']
ca-certificates,['20211016~18.04.1'],['20210119~18.04.1']
certifi,['2022.6.15' '2021.10.8'],['2020.12.5']
cffi,['1.14.6'],['1.14.5']
chardet,['0.7.0' '4.0.*'],['4.0.0']
cloud-init,['22.2' '22.2-0ubuntu1~18.04.3'],['20.4.1-0ubuntu1~18.04.1' '20.4']
comerr-dev,['2.1-1.44.1-1ubuntu1.4'],['2.1-1.44.1-1ubuntu1.3']
command-not-found,['18.04.6'],['18.04.5']
command-not-found-data,['18.04.6'],['18.04.5']
commons-cli,['1.5.0'],[]
commons-codec,['1.15'],[]
commons-io,['2.11.0' '2.8.0'],['2.5']
cpio,['2.12+dfsg-6ubuntu0.18.04.4'],['2.12+dfsg-6ubuntu0.18.04.1']
cryptography,['3.4.8' '2.8' '35.0.0'],['3.4.7']
curl,['7.58.0-2ubuntu3.20'],['7.58.0-2ubuntu3.13']
dbus,['1.12.2-1ubuntu1.3'],['1.12.2-1ubuntu1.2']
dirmngr,['2.2.4-1ubuntu1.6'],['2.2.4-1ubuntu1.4']
distro-info-data,['0.37ubuntu0.14'],['0.37ubuntu0.9']
dnsmasq-base,['2.79-1ubuntu0.6'],['2.79-1ubuntu0.3']
dnsutils,['1:9.11.3+dfsg-1ubuntu1.17'],['1:9.11.3+dfsg-1ubuntu1.14']
docile,['1.4.0'],['1.1.5']
dpkg,['1.19.0.5ubuntu2.4'],['1.19.0.5ubuntu2.3']
dpkg-dev,['1.19.0.5ubuntu2.4'],['1.19.0.5ubuntu2.3']
e2fsprogs,['1.44.1-1ubuntu1.4'],['1.44.1-1ubuntu1.3']
git,['1:2.37.3-0ppa1~ubuntu18.04.1'],['1:2.17.1-1ubuntu0.8']
git-man,['1:2.37.3-0ppa1~ubuntu18.04.1'],['1:2.17.1-1ubuntu0.8']
github.com/Azure/azure-sdk-for-go,['v65.0.0+incompatible' 'v57.1.0+incompatible' 'v55.8.0+incompatible'],[]
github.com/Azure/go-autorest/autorest,['v0.11.20' 'v0.11.19' 'v0.11.24' 'v0.11.27'],[]
github.com/Azure/go-autorest/autorest/adal,['v0.9.15' 'v0.9.13' 'v0.9.18'],[]
github.com/Azure/go-autorest/autorest/azure/auth,['v0.5.8'],[]
github.com/Azure/go-autorest/autorest/azure/cli,['v0.4.3' 'v0.4.2'],[]
github.com/asaskevich/govalidator,['v0.0.0-20200907205600-7a23bdc65eef'],[]
github.com/aws/aws-sdk-go-v2,['v1.16.5' 'v1.13.0'],[]
github.com/aws/aws-sdk-go-v2/config,['v1.15.10' 'v1.13.1'],[]
github.com/aws/aws-sdk-go-v2/credentials,['v1.8.0' 'v1.12.5'],[]
github.com/aws/aws-sdk-go-v2/feature/ec2/imds,['v1.12.6' 'v1.10.0'],[]
github.com/aws/aws-sdk-go-v2/internal/configsources,['v1.1.4' 'v1.1.12'],[]
github.com/aws/aws-sdk-go-v2/internal/endpoints/v2,['v2.4.6' 'v2.2.0'],[]
github.com/aws/aws-sdk-go-v2/internal/ini,['v1.3.5' 'v1.3.13'],[]
github.com/aws/aws-sdk-go-v2/service/ecr,['v1.14.0'],[]
github.com/aws/aws-sdk-go-v2/service/ecrpublic,['v1.11.0'],[]
github.com/aws/aws-sdk-go-v2/service/internal/presigned-url,['v1.9.6' 'v1.7.0'],[]
github.com/aws/aws-sdk-go-v2/service/sso,['v1.9.0' 'v1.11.8'],[]
github.com/aws/aws-sdk-go-v2/service/sts,['v1.16.7' 'v1.14.0'],[]
github.com/aws/smithy-go,['v1.11.3' 'v1.10.0'],[]
github.com/awslabs/amazon-ecr-credential-helper/ecr-login,['v0.0.0-20220216180153-3d7835abdf40' 'v0.0.0-20220228164355-396b2034c795'],[]
