name,version,licenses
Automat,0.8.0,[MIT]
Click,7.0,[BSD]
Jinja2,2.10,[BSD]
Jinja2,2.10,[BSD]
Jinja2,2.10.1,[BSD]
Jinja2,2.10.1,[BSD]
MarkupSafe,1.0,[BSD]
MarkupSafe,1.0,[BSD]
MarkupSafe,1.1.0,[BSD]
MarkupSafe,1.1.0,[BSD]
PyGObject,3.36.0,[GNU LGPL]
PyHamcrest,1.9.0,[New BSD]
PyJWT,1.5.3,[MIT]
PyJWT,1.5.3,[MIT]
PyJWT,1.7.1,[MIT]
PyJWT,1.7.1,[MIT]
PyNaCl,1.3.0,[Apache License 2.0]
PyNaCl,1.4.0,[Apache License 2.0]
PyYAML,3.12,[MIT]
PyYAML,3.12,[MIT]
PyYAML,5.3.1,[MIT]
PyYAML,5.3.1,[MIT]
PyYAML,5.3.1,[MIT]
PyYAML,5.4.1,[MIT]
SecretStorage,2.3.1,[BSD]
Twisted,18.9.0,[MIT]
accountsservice,0.6.55-0ubuntu12~20.04.4,[GPL-2 GPL-2+ GPL-3 GPL-3+]
adduser,3.118ubuntu2,[GPL-2]
adoptopenjdk-11-hotspot,11.0.11+9-3,[]
advance-toolchain-at14.0-devel,14.0-2,[BSD-3-clause GPL ]
advance-toolchain-at14.0-mcore-libs,14.0-2,[BSD-3-clause GPL ]
advance-toolchain-at14.0-perf,14.0-2,[BSD-3-clause GPL ]
advance-toolchain-at14.0-runtime,14.0-2,[BSD-3-clause GPL ]
alsa-topology-conf,1.2.2-1,[BSD-3-clause]
alsa-ucm-conf,1.2.2-1ubuntu0.6,[BSD-3-clause]
apparmor,2.13.3-7ubuntu5.1,[BSD-3-clause GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+]
apport,,[]
apport,2.20.11-0ubuntu27.16,[GPL-2 GPL-2+]
apport-symptoms,0.23,[GPL-2 GPL-2+]
apt,2.0.5,[GPL-2 GPLv2+]
apt-utils,2.0.5,[GPL-2 GPLv2+]
argparse,1.2.1,[Python Software Foundation License]
argparse,1.2.1,[Python Software Foundation License]
asn1crypto,0.24.0,[MIT]
asn1crypto,0.24.0,[MIT]
ast,2.3.0,[]
at,3.1.23-1ubuntu1,[GPL-2 GPL-2+ GPL-3 GPL-3+ ISC]
attrs,19.3.0,[MIT]
attrs,19.3.0,[MIT]
attrs,20.3.0,[MIT]
autoconf,2.69-11.1,[GFDL-1.3 GFDL-1.3+ GPL-2 GPL-2+ GPL-3 GPL-3+ MIT-X-Consortium no-modification other permissive permissive-long-disclaimer permissive-short-disclaimer permissive-without-disclaimer permissive-without-notices-or-disclaimer]
automake,1:1.16.1-4ubuntu6,[GFDL-1.3 GFDL-NIV-1.3+ GPL-2 GPL-2+ GPL-3 GPL-3+ permissive]
autotools-dev,20180224.1,[GPL]
base-files,11ubuntu5.3,[GPL]
base-passwd,3.5.47,[GPL-2 PD]
bash,5.0-6ubuntu1.1,[GPL-3]
bash-completion,1:2.10-1ubuntu1,[GPL-2 GPL-2+]
bc,1.07.1-2build1,[GPL-2 GPL-2.0+ X11 permissive permissive']
bcache-tools,1.0.8-3ubuntu0.1,[GPL-2 GPL-2+ PostgreSQL]
bcrypt,3.2.0,[Apache License  Version 2.0]
beautifulsoup4,4.8.2,[MIT]
bind9-dnsutils,1:9.16.1-0ubuntu2.8,[BSD-2-clause BSD-3-clause ISC MPL-2.0]
bind9-host,1:9.16.1-0ubuntu2.8,[BSD-2-clause BSD-3-clause ISC MPL-2.0]
bind9-libs,1:9.16.1-0ubuntu2.8,[BSD-2-clause BSD-3-clause ISC MPL-2.0]
binfmt-support,2.2.0-2,[GPL-3 GPL-3+]
binutils,2.34-6ubuntu1.1,[GFDL GPL LGPL]
binutils-common,2.34-6ubuntu1.1,[GFDL GPL LGPL]
binutils-powerpc64le-linux-gnu,2.34-6ubuntu1.1,[GFDL GPL LGPL]
bison,2:3.5.1+dfsg-1,[GPL-2 GPL-2+ GPL-3 GPL-3+]
blinker,1.4,[MIT License]
blinker,1.4,[MIT License]
blinker,1.4,[MIT License]
blinker,1.4,[MIT License]
bolt,0.8-4ubuntu1,[LGPL-2.1 LGPL-2.1+]
bsdmainutils,11.1.2ubuntu3,[]
bsdutils,1:2.34-0.1ubuntu9.1,[BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+ GPL-3 GPL-3+ LGPL LGPL-2 LGPL-2+ LGPL-2.1 LGPL-2.1+ LGPL-3 LGPL-3+ MIT public-domain]
btrfs-progs,5.4.1-2,[GPL-2 GPL-2+ TLP-4]
build-essential,12.8ubuntu1.1,[GPL]
busybox-initramfs,1:1.30.1-4ubuntu6.3,[GPL-2]
busybox-static,1:1.30.1-4ubuntu6.3,[GPL-2]
byobu,5.133-0ubuntu1,[GPL-3]
bzip2,1.0.8-2,[BSD-variant GPL-2]
ca-certificates,20210119~20.04.1,[GPL-2 GPL-2+ MPL-2.0]
cargo,0.47.0-1~exp1ubuntu1~20.04.1,[0BSD Apache-2.0 BSD-2-clause BSD-3-Clause BSD-3-clause BSD-3-clause-modified BSL-1.0 EDL-1.0 GPL-2 ISC LGPL-2.1+ MIT MIT-License MPL-2.0 MPL-2.0+ PHP-3.01 Unlicense Zlib]
ccache,3.7.7-1,[BSD-3-clause Expat GPL-3 GPL-3+ ZLIB custom public-domain]
cdi-api,1.0,[]
ceph,1.0.0,[LGPLv2+]
cephfs,2.0.0,[LGPLv2+]
cephfs,2.0.0,[LGPLv2+]
certifi,2018.1.18,[MPL-2.0]
certifi,2018.1.18,[MPL-2.0]
certifi,2018.1.18,[MPL-2.0]
certifi,2019.11.28,[MPL-2.0]
certifi,2019.11.28,[MPL-2.0]
certifi,2019.11.28,[MPL-2.0]
certifi,2020.12.5,[MPL-2.0]
cffi,1.14.5,[MIT]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,3.0.4,[LGPL]
chardet,4.0.0,[LGPL]
clang,1:10.0-50~exp1,[GPL]
clang-10,1:10.0.0-4ubuntu1,[APACHE-2-LLVM-EXCEPTIONS Apache-2.0 BSD-3-Clause BSD-3-clause MIT Python solar-public-domain]
cloud-guest-utils,0.31-7-gd99b2d76-0ubuntu1,[GPL-3]
cloud-init,20.4,[Dual-licensed under GPLv3 or Apache 2.0]
cloud-init,21.1,[Dual-licensed under GPLv3 or Apache 2.0]
cloud-init,21.1-19-gbad84ad4-0ubuntu1~20.04.2,[Apache-2.0 GPL-3]
cloud-init,22.2,[Dual-licensed under GPLv3 or Apache 2.0]
cloud-init,22.2,[Dual-licensed under GPLv3 or Apache 2.0]
cloud-initramfs-copymods,0.45ubuntu1,[GPL-3 GPL-3.0+]
cloud-initramfs-dyn-netconf,0.45ubuntu1,[GPL-3 GPL-3.0+]
cloud.google.com/go/compute,v1.7.0,[]
cmake,3.16.3-1ubuntu1,[Apache-2.0 BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+with_exception GPL-3 GPL-3+with_exception ISC MIT-like zlib]
cmake-data,3.16.3-1ubuntu1,[Apache-2.0 BSD-2-clause BSD-3-clause BSD-4-clause GPL-2 GPL-2+with_exception GPL-3 GPL-3+with_exception ISC MIT-like zlib]
coderay,1.1.1,[]
colorama,0.4.3,[BSD]
comerr-dev,2.1-1.45.5-2ubuntu1,[GPL-2 LGPL-2]
command-line-arguments,(devel),[]
command-not-found,0.3,[UNKNOWN]
command-not-found,20.04.4,[GPL]
commons-cli,1.4,[]
commons-codec,1.11,[]
commons-io,2.5,[]
commons-io,2.6,[]
commons-lang3,3.8.1,[]
configobj,5.0.6,[UNKNOWN]
configobj,5.0.6,[UNKNOWN]
configobj,5.0.6,[UNKNOWN]
configobj,5.0.6,[UNKNOWN]
console-setup,1.194ubuntu3,[GPL-2]
console-setup-linux,1.194ubuntu3,[GPL-2]
constantly,15.1.0,[MIT]
containerd,1.4.4-0ubuntu1~20.04.2,[Apache-2.0 BSD-2-clause BSD-3-clause-Google CC-BY-SA-4.0 Expat ISC LGPL-2.1 LGPL-2.1+ MPL-2.0]
coreutils,8.30-3ubuntu2,[GPL-3]
cpio,2.13+dfsg-2,[GPL-3]
cpp,4:9.3.0-1ubuntu2,[GPL]
cpp-9,9.3.0-17ubuntu1~20.04,[Artistic GFDL-1.2 GPL GPL-2 GPL-3 LGPL LGPL-2.1+]
crash,,[]
cryptography,2.1.4,[BSD or Apache License  Version 2.0]
cryptography,2.1.4,[BSD or Apache License  Version 2.0]
cryptography,2.8,[BSD or Apache License  Version 2.0]
cryptography,2.8,[BSD or Apache License  Version 2.0]
cryptography,3.4.7,[BSD or Apache License  Version 2.0]
cryptsetup,2:2.2.2-3ubuntu2.3,[Apache-2.0 CC0 CC0-1.0 GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+ public-domain]
cryptsetup-bin,2:2.2.2-3ubuntu2.3,[Apache-2.0 CC0 CC0-1.0 GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+ public-domain]
cryptsetup-initramfs,2:2.2.2-3ubuntu2.3,[Apache-2.0 CC0 CC0-1.0 GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+ public-domain]
cryptsetup-run,2:2.2.2-3ubuntu2.3,[Apache-2.0 CC0 CC0-1.0 GPL-2 GPL-2+ LGPL-2.1 LGPL-2.1+ public-domain]
ctor,0.1.16,[]
ctor,0.1.19,[]
curl,7.68.0-1ubuntu2.5,[BSD-3-Clause BSD-4-Clause ISC curl other public-domain]
dash,0.5.10.2-6,[GPL]
dbus,1.12.16-2ubuntu2.1,[AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2 GPL-2+ Tcl-BSDish g10-permissive]
dbus-python,1.2.16,[Expat (MIT/X11)]
dbus-user-session,1.12.16-2ubuntu2.1,[AFL-2.1 BSD-3-clause BSD-3-clause-generic Expat GPL-2 GPL-2+ Tcl-BSDish g10-permissive]
dconf-gsettings-backend,0.36.0-1,[GPL-3 LGPL-2+]
dconf-service,0.36.0-1,[GPL-3 LGPL-2+]
debconf,1.5.73,[BSD-2-clause]
debconf-i18n,1.5.73,[BSD-2-clause]
debianutils,4.9.1,[GPL]
diff-lcs,1.2.5,[]
diffutils,1:3.7-3,[GFDL GPL]
dirmngr,2.2.19-3ubuntu2.1,[BSD-3-clause CC0-1.0 Expat GPL-3 GPL-3+ LGPL-2.1 LGPL-2.1+ LGPL-3 LGPL-3+ RFC-Reference TinySCHEME permissive]
distro,1.4.0,[Apache License  Version 2.0]
distro,1.5.0,[Apache License  Version 2.0]
