name,base_data,new_data
Jinja2,2.10,2.10.1
Jinja2,2.10,2.10.1
Jinja2,2.10.1,2.10
Jinja2,2.10.1,2.10
Jinja2,2.10.1,2.10
Jinja2,2.10.1,2.10
MarkupSafe,1.0,1.1.0
MarkupSafe,1.0,1.1.0
MarkupSafe,1.1.0,1.0
MarkupSafe,1.1.0,1.0
MarkupSafe,1.1.0,1.0
MarkupSafe,1.1.0,1.0
PyJWT,1.5.3,1.7.1
PyJWT,1.5.3,1.7.1
PyJWT,1.7.1,1.5.3
PyJWT,1.7.1,1.5.3
PyJWT,1.7.1,1.5.3
PyJWT,1.7.1,1.5.3
PyNaCl,1.3.0,1.4.0
PyNaCl,1.3.0,1.4.0
PyYAML,3.12,5.3.1
PyYAML,3.12,5.3.1
PyYAML,3.12,5.3.1
PyYAML,3.12,5.4.1
PyYAML,5.3.1,3.12
PyYAML,5.3.1,3.12
PyYAML,5.3.1,5.4.1
PyYAML,5.3.1,3.12
PyYAML,5.3.1,3.12
PyYAML,5.3.1,5.4.1
PyYAML,5.3.1,3.12
PyYAML,5.3.1,3.12
PyYAML,5.3.1,5.4.1
PyYAML,6.0,3.12
PyYAML,6.0,3.12
PyYAML,6.0,5.3.1
PyYAML,6.0,5.3.1
PyYAML,6.0,5.3.1
PyYAML,6.0,5.4.1
SecretStorage,3.3.2,2.3.1
accountsservice,0.6.55-0ubuntu12~20.04.5,0.6.55-0ubuntu12~20.04.4
alsa-ucm-conf,1.2.2-1ubuntu0.13,1.2.2-1ubuntu0.6
apport,,
apport,,2.20.11-0ubuntu27.16
apport,2.20.11-0ubuntu27.24,
apport,2.20.11-0ubuntu27.24,2.20.11-0ubuntu27.16
apt,2.0.9,2.0.5
apt-utils,2.0.9,2.0.5
argparse,1.0.10,1.2.1
argparse,1.0.10,1.2.1
argparse,1.0.10,1.2.1
argparse,1.0.10,1.2.1
argparse,1.0.10,1.2.1
argparse,1.0.10,1.2.1
ast,2.4.2,2.3.0
attrs,19.3.0,20.3.0
attrs,19.3.0,20.3.0
attrs,20.2.0,19.3.0
attrs,20.2.0,19.3.0
attrs,20.2.0,20.3.0
attrs,21.4.0,19.3.0
attrs,21.4.0,19.3.0
attrs,21.4.0,20.3.0
attrs,21.4.0,19.3.0
attrs,21.4.0,19.3.0
attrs,21.4.0,20.3.0
attrs,21.4.0,19.3.0
attrs,21.4.0,19.3.0
attrs,21.4.0,20.3.0
base-files,11ubuntu5.6,11ubuntu5.3
bash,5.0-6ubuntu1.2,5.0-6ubuntu1.1
bind9-dnsutils,1:9.16.1-0ubuntu2.10,1:9.16.1-0ubuntu2.8
bind9-host,1:9.16.1-0ubuntu2.10,1:9.16.1-0ubuntu2.8
bind9-libs,1:9.16.1-0ubuntu2.10,1:9.16.1-0ubuntu2.8
binutils,2.34-6ubuntu1.3,2.34-6ubuntu1.1
binutils-common,2.34-6ubuntu1.3,2.34-6ubuntu1.1
bsdutils,1:2.34-0.1ubuntu9.3,1:2.34-0.1ubuntu9.1
busybox-initramfs,1:1.30.1-4ubuntu6.4,1:1.30.1-4ubuntu6.3
busybox-static,1:1.30.1-4ubuntu6.4,1:1.30.1-4ubuntu6.3
ca-certificates,20211016~20.04.1,20210119~20.04.1
certifi,2018.1.18,2019.11.28
certifi,2018.1.18,2019.11.28
certifi,2018.1.18,2019.11.28
certifi,2018.1.18,2020.12.5
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2020.12.5
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2020.12.5
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2018.1.18
certifi,2019.11.28,2020.12.5
certifi,2020.6.20,2018.1.18
certifi,2020.6.20,2018.1.18
certifi,2020.6.20,2018.1.18
certifi,2020.6.20,2019.11.28
certifi,2020.6.20,2019.11.28
certifi,2020.6.20,2019.11.28
certifi,2020.6.20,2020.12.5
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2020.12.5
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2020.12.5
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2018.1.18
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2019.11.28
certifi,2022.6.15,2020.12.5
cffi,1.14.6,1.14.5
cffi,1.15.1,1.14.5
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,4.0.0
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,3.0.4
chardet,0.7.0,4.0.0
chardet,3.0.4,4.0.0
chardet,3.0.4,4.0.0
chardet,3.0.4,4.0.0
chardet,3.0.4,4.0.0
chardet,4.0.*,3.0.4
chardet,4.0.*,3.0.4
chardet,4.0.*,3.0.4
chardet,4.0.*,3.0.4
chardet,4.0.*,3.0.4
